,user,location,followers,following,unfiltered_text,retweets,likes,listed_count,tweets,mentions,isreply,verified,hashtags,days,retweeted_before,text,popularity,city,topics,sentiment
25,ZamilMe,"Patna, India",40,145,"RT @DanishSrk__: King Khan out with little Abram to wave to the fans😍😍

#बादशाहत_के_54_साल #KingKhan #HBDWorldsBiggestMovieStar #HappyBirth…",3,0,0,1904,1,0,0,3,149,1,danishsrk king khan with little abram wave fan 54 kingkhan hbdworldsbiggestmoviestar happybirth,0.7555913128953562,LUCKNOW,1,negative
24,kawatpawan,rajkot,61,81,"RT @amitkvishal1: @jack just looks at these two images, how @TwitterIndia is a #CasteistTwitter . Please #SackManishMaheshwari to issue its…",5,0,0,2203,3,0,0,2,3220,1,amitkvishal1 jack just look these image twitterindia casteisttwitter please sackmanishmaheshwari issue its,0.9588816080855398,LUCKNOW,2,neutral
15,kawatpawan,rajkot,61,81,RT @amitkvishal1: #CasteistTwitter @jack I request you to kindly clean your @TwitterIndia department. They are highly casteist and hatrel l…,7,0,0,2203,3,0,0,1,3220,1,amitkvishal1 casteisttwitter jack request kindly clean your twitterindia department they highly casteist hatrel,0.9290917418794546,LUCKNOW,2,positive
20,TweetVKG,"Lucknow, India",17,249,@glen_magicpower Congratulations 🎉🎊,0,0,0,100,1,1,0,0,1394,0,glenmagicpower congratulations,0.9222350567453741,LUCKNOW,2,neutral
48,nawabbhaktuddin,"lucknow,INDIA",93,1083,"@ImtiazMadmood Sir again welcome to India...
It's legal here now.",0,0,0,11865,1,1,0,0,1345,0,imtiazmadmood again welcome india legal here,0.914755003085722,LUCKNOW,2,positive
7,kesharimal2014,"Rajasthan, India",574,2354,RT @amitkvishal1: #CasteistTwitter @jack I request you to kindly clean your @TwitterIndia department. They are highly casteist and hatrel l…,7,0,0,434,3,0,0,1,44,1,amitkvishal1 casteisttwitter jack request kindly clean your twitterindia department they highly casteist hatrel,0.8292969283558035,LUCKNOW,2,positive
39,vorehyelin,rhh’s basement,508,832,RT @dankest_exid: Idol with the most legendary fancam: https://t.co/wIRNiUrpSo,1,0,21,22960,1,0,0,0,348,1,dankestexid idol with most legendary fancam,0.6996280510592036,LUCKNOW,2,positive
37,kshiprashuklaa,"Lucknow, India",670,183,RT @DzignInstitute: Inauguration of the 10 day technical training program in craft based/innovative design to unskilled artisans/handicraft…,1,0,0,3495,1,0,0,0,657,1,dzigninstitute inauguration technical train program craft basedinnovative design unskilled artisanshandicraft,0.6743613132437924,LUCKNOW,2,neutral
16,dhruv_azh,"Lucknow, India",146,190,"# District Magistrate taking pledge during DCC-LF Meeting at Kanpur dehat
@Dr_Tripathi 
@ranpal1234 
@PCI_India_… https://t.co/3jFqfGZtV3",0,1,0,996,3,0,0,0,1474,0,district magistrate take pledge during dcclf meet kanpur dehat drtripathi ranpal1234 pciindia,0.60286668741104,LUCKNOW,2,neutral
41,Metro24N,Lucknow,41,570,TOP 10 NEWS HEADLINES https://t.co/ya5mPlsMnz via @YouTube,0,0,0,3084,1,0,0,0,95,0,news headline youtube,0.2950129039893247,LUCKNOW,2,neutral
29,AnitaJattrana,"Lucknow, India",420,480,Loser he is a a Magsayse Awardee do have a single among  morons Paidtard journos pedegree tamed BJPigs2😊😊😊 https://t.co/oOTsnKUtf5,0,0,1,1761,0,0,0,0,41,0,loser magsayse awardee have single among morons paidtard journos pedegree tame bjpigs2,0.22819932843037435,LUCKNOW,2,negative
0,nawabbhaktuddin,"lucknow,INDIA",93,1083,"@villageidiot_47 @saywooooooo @OpusOfAli @imMAK02 Where did u get the figure of 2,47,000?
U conveniently forgot mir… https://t.co/axbUItb4bh",0,0,0,11865,4,1,0,0,1345,0,villageidiot47 saywooooooo opusofali immak02 where figure 247000 conveniently forget mir,1.0354911187166855,LUCKNOW,3,neutral
17,RudraSRK555,SRK's COUNTRY,1133,676,"RT @DanishSrk__: 😍😍KING KING😍😍

#बादशाहत_के_54_साल #KingKhan #HBDWorldsBiggestMovieStar #HappyBirthdaySRK #SRK #HappyBirthdayShahRukhKhan #…",3,0,41,87665,1,0,0,6,2251,1,danishsrk king king 54 kingkhan hbdworldsbiggestmoviestar happybirthdaysrk happybirthdayshahrukhkhan,0.9860747570642184,LUCKNOW,3,neutral
11,IamAlizaman,"Karnataka, India",720,190,"RT @DanishSrk__: 😍😍KING KING😍😍

#बादशाहत_के_54_साल #KingKhan #HBDWorldsBiggestMovieStar #HappyBirthdaySRK #SRK #HappyBirthdayShahRukhKhan #…",3,0,22,42836,1,0,0,6,2042,1,danishsrk king king 54 kingkhan hbdworldsbiggestmoviestar happybirthdaysrk happybirthdayshahrukhkhan,0.9702325790411083,LUCKNOW,3,neutral
31,iammsk,India,1145,611,"RT @anwar_deo: hello @jack  look how cheap @TwitterIndia  is?
they support boycott indian Muslims week, but as we target hate monger mahesh…",109,0,44,175234,3,0,0,0,3588,1,anwardeo hello jack look cheap twitterindia they support boycott indian muslims week target hate monger mahesh,0.9430538622794558,LUCKNOW,3,negative
49,Aleem_Salmaniac,"Lucknow, India",1021,906,@Monika_Kapoor19 @HAIDARSRKIAN A = Romantic 🥴,0,1,0,11083,2,1,0,0,138,0,monikakapoor19 haidarsrkian romantic,0.9082802922387692,LUCKNOW,3,neutral
21,ZamilMe,"Patna, India",40,145,"RT @DanishSrk__: 😍😍KING KING😍😍

#बादशाहत_के_54_साल #KingKhan #HBDWorldsBiggestMovieStar #HappyBirthdaySRK #SRK #HappyBirthdayShahRukhKhan #…",3,0,0,1904,1,0,0,6,149,1,danishsrk king king 54 kingkhan hbdworldsbiggestmoviestar happybirthdaysrk happybirthdayshahrukhkhan,0.860026541806276,LUCKNOW,3,neutral
46,Cjsp74,"Lucknow, India ",4099,1353,"RT @anwar_deo: hello @jack  look how cheap @TwitterIndia  is?
they support boycott indian Muslims week, but as we target hate monger mahesh…",109,0,0,53970,3,0,0,0,2131,1,anwardeo hello jack look cheap twitterindia they support boycott indian muslims week target hate monger mahesh,0.8543247575036109,LUCKNOW,3,negative
43,kawatpawan,rajkot,61,81,RT @journalist_syed: He twitter see how twitter india is working it is #CasteistTwitter,16,0,0,2203,1,0,0,1,3220,1,journalistsyed twitter twitter india work casteisttwitter,0.8403777150671101,LUCKNOW,3,neutral
4,mmtradingco25,,98,107,"RT @anwar_deo: hello @jack  look how cheap @TwitterIndia  is?
they support boycott indian Muslims week, but as we target hate monger mahesh…",109,0,1,4574,3,0,0,0,1624,1,anwardeo hello jack look cheap twitterindia they support boycott indian muslims week target hate monger mahesh,0.8315499886690815,LUCKNOW,3,negative
26,DanishSrk__,"Lucknow, India",450,921,"😍😍KING KING😍😍

#बादशाहत_के_54_साल #KingKhan #HBDWorldsBiggestMovieStar #HappyBirthdaySRK #SRK… https://t.co/FBQotrLS2q",3,2,1,3020,0,0,0,5,203,1,king king 54 kingkhan hbdworldsbiggestmoviestar happybirthdaysrk srk,0.7985579523393221,LUCKNOW,3,neutral
12,_mansi09,"Lucknow, India",3148,0,"@FMWdotcom @RenaultIndia Two Expensive thing in one frame 
@Fmwdotcom 
@Renaultindia #Renaultkwid #Fashionmostwanted",0,0,3,92,4,1,0,2,262,0,fmwdotcom renaultindia expensive thing frame fmwdotcom renaultindia renaultkwid fashionmostwanted,2.251435539280889,LUCKNOW,4,negative
30,neeleshmisra,"Lucknow, India",80648,3262,Thank you! Yes we believe our effort can be replicated globally to transform rural education. @anandmahindra… https://t.co/KLpUS4hWGO,0,1,297,23076,1,0,1,0,3853,0,thank believe effort replicate globally transform rural education anandmahindra,1.5143917963354185,LUCKNOW,4,neutral
36,GaonConnection,"Lucknow, India",39896,751,"After World War II, many nations had learned to control the #disease, which doesn’t only kill the afflicted #animal… https://t.co/ihc6rf0nRy",1,1,146,59281,0,0,1,2,2898,1,after world many nations learn control disease which doesn only kill afflict animal,1.2592724461216114,LUCKNOW,4,positive
28,kumudhagopal,"Tamil Nadu, India",427,453,"RT @BeingMillie27: @ms_dipika's ""The Shahrukh Moment"" 
@iamsrk 
#HappyBirthdayShahRukhKhan #SRK54 #Baadshah #HBDSRK 
#DipikaKakar https://t…",2,0,5,13910,3,0,0,5,2134,1,beingmillie27 msdipika shahrukh moment iamsrk happybirthdayshahrukhkhan srk54 baadshah hbdsrk dipikakakar,1.01313257448955,LUCKNOW,4,neutral
38,Santosh100294,"Lucknow, India",72,102,@AbhaChaudharyUP Beautiful🌺,0,0,0,54,1,1,0,0,749,0,abhachaudharyup beautiful,0.9327199097492553,LUCKNOW,4,positive
47,DipiMyworld,India,17,32,"RT @BeingMillie27: @ms_dipika's ""The Shahrukh Moment"" 
@iamsrk 
#HappyBirthdayShahRukhKhan #SRK54 #Baadshah #HBDSRK 
#DipikaKakar https://t…",2,0,0,402,3,0,0,5,57,1,beingmillie27 msdipika shahrukh moment iamsrk happybirthdayshahrukhkhan srk54 baadshah hbdsrk dipikakakar,0.9133621429682656,LUCKNOW,4,neutral
22,1967Anil,"Noida, Uttar Pradesh",1467,1190,"RT @GaonConnection: After World War II, many nations had learned to control the #disease, which doesn’t only kill the afflicted #animal, bu…",1,0,65,137119,1,0,0,2,2440,1,gaonconnection after world many nations learn control disease which doesn only kill afflict animal,0.8854214838295187,LUCKNOW,4,positive
10,Ashishtwt,"Lucknow, India",12,139,@Rabipirzada Indians are enjoying your beauty 😊,0,0,0,183,1,1,0,0,13,0,rabipirzada indians enjoy your beauty,0.8560819037891746,LUCKNOW,4,positive
1,thebrijeshpande,"Ayodhya, India",233,940,"RT @uptourismgov: #Deepotsav2019, in Ayodhya.
Here are some captivating glimpses of this grand festival. 
#UPTourism #UPNahiDekhaTohIndiaNa…",13,0,0,5004,1,0,0,2,2097,1,uptourismgov deepotsav2019 ayodhya here some captivate glimpse this grand festival uptourism upnahidekhatohindiana,0.8206756541618927,LUCKNOW,4,positive
34,AakashRoy_09,"West Bengal, India",142,228,"RT @Akshay_Brigade: TOP 5 BIGGEST HITS OF 2019 TILL NOW ~ 

• KABIR SINGH 
• URI 
• MISSION MANGAL
• WAR 
• HOUSEFULL 4 

Source ~ BOX OFFI…",145,0,0,5454,1,0,0,0,521,1,akshaybrigade biggest hit 2019 till kabir singh mission mangal housefull source offi,0.6577650782938838,LUCKNOW,4,neutral
