,user,location,followers,following,unfiltered_text,retweets,likes,listed_count,tweets,mentions,isreply,verified,hashtags,days,retweeted_before,text,popularity,city,topics,sentiment
15,Iam_Babalu,"Mirzapur, India",915,1401,"@oyorooms Maya Bay is a little slice of white-sand paradise, the views are  incredible ! #GOATbeach #GOAT #bestbeach #therealGOAT",0,0,0,401,1,1,0,4,169,0,oyorooms maya little slice whitesand paradise view incredible goatbeach goat bestbeach therealgoat,,VARANASI,1,positive
32,SubanAshraf,Varanasi,2,4,HAPPY BIRTHDAY SHAHRUKH KHAN 😊 @iamsrk,0,0,0,16,1,0,0,0,519,0,happy birthday shahrukh khan iamsrk,,VARANASI,1,positive
45,rahulkrrao,"Varanasi, India",8626,1156,10 Accessories to Beat the Winter Chill https://t.co/FutwbaSipv,0,0,1105,84918,0,0,0,0,2839,0,accessories beat winter chill,,VARANASI,1,neutral
48,CricInformer,"Varanasi, India",50643,790,@PranjalTiwari2 Thats why I said that invest less in this match.,0,0,102,14696,1,1,0,0,1014,0,pranjaltiwari2 thats say that invest less this match,,VARANASI,1,negative
3,YogiPandeyUP,Varanasi,31,189,"RT @DrMNPandeyMP: Met students of Pradhan Mantri Kaushal Vikas Yojana (#PMKVY) in Odisha, taking skill training as F&amp;B stewards in classes…",19,0,0,22,1,0,0,1,24,1,drmnpandeymp students pradhan mantri kaushal vikas yojana pmkvy odisha take skill train stewards class,,VARANASI,2,neutral
9,Vishavarupam,Varanasi,9,8,"World  biggest  carnival  festival  ""Dala Chath"" bank  of  river  Ganga  in  Varanasi.  
#DalaChath https://t.co/HUABrxI8b9",0,1,0,444,0,0,0,1,2723,0,world biggest carnival festival dala chath bank river ganga varanasi dalachath,,VARANASI,2,neutral
17,RAMAVTARPANDEY7,"Varanasi, India",10,121,@narendramodi Please come jharkhand bcz election date is final😆😆 https://t.co/tLAdtGnQTJ,0,4,0,398,1,1,0,0,59,0,narendramodi please come jharkhand election date final,,VARANASI,2,neutral
23,Vijendr36225016,"संभल, उत्तर प्रदेश भारत",75,918,"RT @DrMNPandeyMP: Met students of Pradhan Mantri Kaushal Vikas Yojana (#PMKVY) in Odisha, taking skill training as F&amp;B stewards in classes…",19,0,0,7391,1,0,0,1,305,1,drmnpandeymp students pradhan mantri kaushal vikas yojana pmkvy odisha take skill train stewards class,,VARANASI,2,neutral
30,ArunCha99591802,,20,36,"RT @DrMNPandeyMP: Met students of Pradhan Mantri Kaushal Vikas Yojana (#PMKVY) in Odisha, taking skill training as F&amp;B stewards in classes…",19,0,0,496,1,0,0,1,49,1,drmnpandeymp students pradhan mantri kaushal vikas yojana pmkvy odisha take skill train stewards class,,VARANASI,2,neutral
37,yoonminionz,"Varanasi, India",785,489,@vantaegukk Maya said I got that boom boom pow,0,0,0,637,1,1,0,0,1469,0,vantaegukk maya say that boom boom,,VARANASI,2,neutral
38,OmVarma38782983,"Varanasi, India",2630,3851,@n_joshi990 Good Evening Nisha god bless you .,0,1,0,7265,1,1,0,0,218,0,njoshi990 good even nisha bless,,VARANASI,2,positive
43,Koushal88844826,,1,12,RT @Sankrityanabhis: 14925% increase in income in 5 years of Jay Amit Shah .. I think country's economy should be managed by such magicians…,5,0,0,751,1,0,0,0,20,1,sankrityanabhis 14925 increase income years amit shah think country economy should manage such magicians,,VARANASI,2,neutral
46,NEERAJ677744,,1631,1520,RT @Sankrityanabhis: 14925% increase in income in 5 years of Jay Amit Shah .. I think country's economy should be managed by such magicians…,5,0,1,165517,1,0,0,0,2136,1,sankrityanabhis 14925 increase income years amit shah think country economy should manage such magicians,,VARANASI,2,neutral
0,nishamarnath,"New York, NY",449,408,"My latest for The Big Thrill: #Author and former trial attorney John Dobbyn discusses High Stakes, his latest… https://t.co/3fqWeENBJp",0,0,32,1967,0,0,0,1,3324,0,latest thrill author former trial attorney john dobbyn discuss high stake latest,,VARANASI,3,positive
7,vishal_jaiswal2,Varanasi ,4,58,Name is not brand is brand badashah o badashah grand welcome thanku Bangkok and prime minister https://t.co/WTsdkU90iA,0,1,0,44,0,0,0,0,126,0,name brand brand badashah badashah grand welcome thanku bangkok prime minister,,VARANASI,3,positive
10,SherinPaul16,"Varanasi, India",12,67,The outlet at IIT-BHU is made for students and hence the subsidized rates. Tell me this isn't a business tactic if… https://t.co/F36U0qdpob,0,0,0,25,0,1,0,0,873,0,outlet iitbhu make students hence subsidize rat tell this business tactic,,VARANASI,3,neutral
16,GudduBhaiyaa,"Mirzapur, India",600,75,@samsays_18 Same to u,0,0,1,3971,1,1,0,0,1207,0,samsays18 same,,VARANASI,3,neutral
21,Vishavarupam,Varanasi,9,8,Evening  time https://t.co/pcHzBtb55z,0,1,0,444,0,0,0,0,2723,0,even time,,VARANASI,3,neutral
24,Vishavarupam,Varanasi,9,8,Wishing  you  all  very  happy  Dala  Chath https://t.co/5vB0TajhCI,0,1,0,444,0,0,0,0,2723,0,wish very happy dala chath,,VARANASI,3,positive
29,hpsinghu,,372,356,"RT @rajneeshsail: Hey @jack ! Please remove @manishm345 , this unity in diversity is a cancer for a great India country. This is a very rac…",10,0,0,12536,3,0,0,0,1866,1,rajneeshsail jack please remove manishm345 this unity diversity cancer great india country this very rac,,VARANASI,3,positive
33,Mb1qevVyv3jXyBs,"Varanasi, India",1057,4984,@chandinibhatt Verygood,0,0,0,25278,1,1,0,0,188,0,chandinibhatt verygood,,VARANASI,3,neutral
34,sarangthacker,"Mumbai, India",1009,1675,RT @TheWhatsappGuy: @divya_16_ I'm more concerned about Mumbai metro and linking of dams in Marathwada region. Both very ambitious projects…,4,0,19,88075,2,0,0,0,2981,1,thewhatsappguy divya16 more concern about mumbai metro link dam marathwada region both very ambitious project,,VARANASI,3,positive
40,F1Sachin,"Mirzapur, India",951,1071,"Honestly, I’m too lazy to get rid of all the hair from my body. I like it natural, like a fuzzy bear.… https://t.co/2cT9I9zhLS",0,0,0,221,0,0,0,0,169,0,honestly lazy hair from body like natural like fuzzy bear,,VARANASI,3,negative
1,GudduBhaiyaa,"Mirzapur, India",600,75,@venicitys Worst😞,0,0,1,3971,1,1,0,0,1207,0,venicitys worst,,VARANASI,4,negative
4,GudduBhaiyaa,"Mirzapur, India",600,75,Girls attracts on Clean shave boy. Isn't it? #BodyHairOrBodyBare,0,0,1,3971,0,0,0,1,1207,0,girls attract clean shave bodyhairorbodybare,,VARANASI,4,positive
8,GudduBhaiyaa,"Mirzapur, India",600,75,There is reason why I don't have hair on my chest. Want to know? #BodyHairOrBodyBare,0,0,1,3971,0,0,0,1,1207,0,there reason have hair chest want know bodyhairorbodybare,,VARANASI,4,neutral
18,Anupam_Shukla82,"Noida, India",55,102,"RT @DeanScienceBHU: This is to inform that ""Azim Premji Foundation"" is interested in recruiting students from Banaras Hindu University.
Int…",3,0,8,2412,1,0,0,0,1440,1,deansciencebhu this inform that azim premji foundation interest recruit students from banaras hindu university int,,VARANASI,4,neutral
19,DrDhananjayPan1,VARANASI,146,354,"@khanumarfa @AzmiShabana We dont want to know about our cultural heritage by you,,,we know it,,thanks,,,chal nikal ab love di",0,0,1,6037,2,1,0,0,1411,0,khanumarfa azmishabana dont want know about cultural heritage know thank chal nikal love,,VARANASI,4,positive
22,OmVarma38782983,"Varanasi, India",2630,3851,@ItsShweta_ Thanks for your Fallo wars .,0,0,0,7265,1,1,0,0,218,0,itsshweta thank your fallo war,,VARANASI,4,neutral
25,VaranasiNews,"Varanasi, India",1011,0,Take lessons in courtesy from Japan: Forum to Railways - The Tribune https://t.co/6tl1Ai05bN https://t.co/SXVNkEAJVB,0,0,10,15404,0,0,0,0,3461,0,take lessons courtesy from japan forum railways tribune,,VARANASI,4,neutral
27,AzmiMeer,SaraiMir,44,410,"RT @srdstebsb: @HamaraSaraimir @drmbsbner @RailMinIndia Due to some technical problem,issue is informed to concerned,soon rectify.",4,0,0,311,4,0,0,0,372,1,srdstebsb hamarasaraimir drmbsbner railminindia some technical problem issue inform concern soon rectify,,VARANASI,4,neutral
35,Sunilsi93408701,"Mumbai, India",273,328,RT @Varsha_45: 1.4k family.... 💕 💕 💕 😘😘😘😘Love you all 🌹🌹🌹🌹🌹 https://t.co/abPep4slcX,3,0,0,3130,1,0,0,0,132,1,varsha45 14k family love,,VARANASI,4,positive
36,Modi_bs,"Varanasi, India",54,460,"@AmbaniHu @iamsrk Pura desh aapse naach raha hai, where is our thank you",0,0,0,3673,2,1,0,0,548,0,ambanihu iamsrk pura desh aapse naach raha where thank,,VARANASI,4,neutral
