,user,location,followers,following,unfiltered_text,retweets,likes,listed_count,tweets,mentions,isreply,verified,hashtags,days,retweeted_before,text,popularity,city,topics,sentiment
42,jcchiloo,Elo hell,427,578,RT @Voyboy: That was definitely one of the most insane and intense games of League ever played at Worlds. The real winner of that match was…,48,0,3,15398,1,0,0,0,2445,1,voyboy that definitely most insane intense game league ever play worlds real winner that match be,0.86670716419543,LAS_VEGAS,1,negative
45,azidakhairani,,287,883,"RT @Senoritxkxy: Once you’re in a relationship you think it’s going to last forever. But in reality, it only lasts as long as you’re workin…",69204,0,3,16600,1,0,0,0,1549,1,senoritxkxy once relationship think go last forever reality only last long workin,0.8164119315365763,LAS_VEGAS,1,negative
9,__styley,"Accra, Ghana",232,123,"RT @Senoritxkxy: Once you’re in a relationship you think it’s going to last forever. But in reality, it only lasts as long as you’re workin…",69203,0,0,722,1,0,0,0,1049,1,senoritxkxy once relationship think go last forever reality only last long workin,0.7870180144404471,LAS_VEGAS,1,negative
38,disNEy_worldd,,2393,1385,Then this hotel the shit,0,0,16,152874,0,0,0,0,2917,0,then this hotel shit,0.5465121300777126,LAS_VEGAS,1,negative
25,KamKam_Music89,"Las Vegas, NV ",73,166,Confidence flows when you strive to emulate the energy that yo... More for Cancer https://t.co/kcDHRaCZeH,0,0,1,2962,0,0,0,0,3096,0,confidence flow when strive emulate energy that more cancer,0.5425232056963459,LAS_VEGAS,1,positive
31,SpunkyBeer,las vegas,171,211,Confidence flows when you strive to emulate the energy that yo... More for Cancer https://t.co/4ZM8dFR0Dn,0,0,1,3418,0,0,0,0,2993,0,confidence flow when strive emulate energy that more cancer,0.5338475668069967,LAS_VEGAS,1,positive
33,BabyJoe1k,"Las Vegas, NV",207,205,@babymercx Get Back At Me When You Can,0,0,1,892,1,0,0,0,1536,0,babymercx back when,0.5294251452000626,LAS_VEGAS,1,neutral
40,Ray_do3,"Las Vegas, NV",619,1140,Confidence flows when you strive to emulate the energy that yo... More for Cancer https://t.co/TnvTtFc3Xq,0,0,6,28590,0,0,0,0,2857,0,confidence flow when strive emulate energy that more cancer,0.527325394482176,LAS_VEGAS,1,positive
28,TheMarkHenry,Silsbee texas,1297848,1026,"RT @RyanMcKinnell: Good morning @BustedOpenRadio Nation! What a night – let's go @TheMarkHenry!

- Best Smackdown in how long?!

- Bryan pu…",2,0,2645,7250,3,0,1,0,3112,1,ryanmckinnell good morning bustedopenradio nation what night themarkhenry best smackdown long bryan,3.598602356635729,LAS_VEGAS,2,positive
41,BustedOpenRadio,NYC,44878,1679,"RT @RyanMcKinnell: Good morning @BustedOpenRadio Nation! What a night – let's go @TheMarkHenry!

- Best Smackdown in how long?!

- Bryan pu…",2,0,394,65544,3,0,1,0,3833,1,ryanmckinnell good morning bustedopenradio nation what night themarkhenry best smackdown long bryan,1.555993245389787,LAS_VEGAS,2,positive
47,KiannaOVO,Club Paradise,1766,413,@PrettyShort21 🤧 summer just,1,1,21,128226,1,1,0,0,2777,1,prettyshort21 summer just,1.2749229034252578,LAS_VEGAS,2,neutral
46,Donna_West,"Las Vegas, NV",26669,19887,"How about discussing gun violence prevention?  You don’t shoot people for having a large, loud party. You don’t sho… https://t.co/alqjuYyzWw",0,0,534,416753,0,0,0,0,3970,0,about discuss violence prevention shoot people have large loud party sho,1.0271654670717336,LAS_VEGAS,2,positive
34,DirtyDuwopSG,3319,981,706,RT @SBM_Sosa: actions speak louder den words..,7,0,3,18664,1,0,0,0,1562,1,sbmsosa action speak louder word,0.8184413215044822,LAS_VEGAS,2,positive
8,_ffaa16,🌻,183,393,RT @koodzillla: my playlist be like: https://t.co/l2vWU4ZdLY,137,0,0,7692,1,0,0,0,1015,1,koodzillla playlist like,0.7821040042366081,LAS_VEGAS,2,neutral
39,tron_gator,"Henderson, NV",109,32,RT @GreenValleyHS: We have the best faculty in CCSD! There is a great turnout on a cold night for our last regular season game against Basi…,2,0,0,199,1,0,0,0,353,1,greenvalleyhs have best faculty ccsd there great turnout cold night last regular season game against basi,0.7464210248351961,LAS_VEGAS,2,positive
24,spanky119,"Las Vegas, Nevada",573,2179,A journey of personal growth or emotional healing could pick u... More for Taurus https://t.co/na4E9NwgDw,0,0,4,9505,0,0,0,0,4176,0,journey personal growth emotional heal could pick more taurus,0.6335344349692874,LAS_VEGAS,2,positive
15,allvegasreviews,"Las Vegas, NV",857,1702,"Featured events today in #Vegas  from https://t.co/zz3JDFGpKj @ Las Vegas, Nevada https://t.co/UER4LxABAY",0,0,22,8948,0,0,0,1,2385,0,feature events today vegas from vegas nevada,0.5944858094671066,LAS_VEGAS,2,neutral
19,PTLockSmith,"Las Vegas, Nevada",25548,27541,"College Football has been great for me so far and going to cash in again today!

https://t.co/9m5cjecwcm",0,0,66,15033,0,0,0,0,1665,0,college football be great go cash again today,0.5895881397200232,LAS_VEGAS,2,positive
13,MartinJamesdon2,"Las Vegas, NV",1130,4985,"@Cheezburger @TheRock Overrated,,,,juiced up,,,,meathead,,,,",0,0,1,20222,2,1,0,0,1549,0,cheezburger therock overrate juiced meathead,1.103557891024861,LAS_VEGAS,3,neutral
16,ahmddirfan,Paradise,69,295,@MohdSaiddd Nah like,0,0,0,212,1,1,0,0,620,0,mohdsaiddd like,1.0033644714756955,LAS_VEGAS,3,neutral
2,helloimsoft,She/They » 22 » Aspec,5,113,RT @Sweepsgg: We'll give $25 to a random person who retweets this tweet and is following us within the next 48 hours. Double your chances t…,1309,0,0,662,1,0,0,0,126,1,sweepsgg give random person retweets this tweet follow within next hours double your chance,0.7263625569125579,LAS_VEGAS,3,negative
20,kwistenkim,lvnv,3505,818,why is everyone in japan im so JEALOUS,0,0,20,80477,0,0,0,0,2693,0,everyone japan jealous,0.5350582918963338,LAS_VEGAS,3,neutral
1,JonathonZatara,Las Vegas,122,147,"@TraciLucky13 @MissPastFortune 🐰 triangle and a black magic one.”

Sebastian cut in. “But we weren’t there for the… https://t.co/8wZ6xdVck4",0,0,1,1053,2,1,0,0,643,0,tracilucky13 misspastfortune triangle black magic one sebastian weren there the,1.0663315767773507,LAS_VEGAS,4,positive
48,DukeNukeml,"Las Vegas, NV",86,109,"@AlluringCowgirl ""Where did you spend Halloween?""",0,0,0,450,1,1,0,0,402,0,alluringcowgirl where spend halloween,0.9921401423461432,LAS_VEGAS,4,neutral
5,ZachJLandes,Mars,161,1345,"RT @HBJohnXuandou: Why the fuck are people cheering for this?

This is not an apology. Once again, just like in the original statement Bliz…",4166,0,11,22913,1,0,0,0,3226,1,hbjohnxuandou fuck people cheer this this apology once again just like original statement bliz,0.9134790276649154,LAS_VEGAS,4,negative
35,_taliacook,RI,1359,917,"RT @WrongN1K: When you meet a new person on campus and then you start seeing them all the time 
https://t.co/4gwBreXO9M",3051,0,6,71498,1,0,0,0,3170,1,wrongn1k when meet person campus then start see them time,0.9077781053352847,LAS_VEGAS,4,neutral
37,Marylynnheller,NJ,489,583,RT @DoriAnnTitle1: TIME IS RUNNING OUT: Help me give my students Veterans Day themed picture books along with treats to send to deployed pa…,5,0,4,6856,1,0,0,0,2945,1,dorianntitle1 time run help give students veterans theme picture book along with treat send deploy,0.8958442895790614,LAS_VEGAS,4,neutral
36,pancakebyte,505,127,264,"RT @HBJohnXuandou: Why the fuck are people cheering for this?

This is not an apology. Once again, just like in the original statement Bliz…",4166,0,8,24415,1,0,0,0,2780,1,hbjohnxuandou fuck people cheer this this apology once again just like original statement bliz,0.8877444131450596,LAS_VEGAS,4,negative
18,arrowgropie3390,,95,714,RT @SamFowler69Reds: @GeorgeTakei It is a lawfully conducted and duty bound responsibility. The only question is if the Republican Party wi…,5,0,0,11631,2,0,0,0,1539,1,samfowler69reds georgetakei lawfully conduct duty bind responsibility only question republican party,0.8855866316525889,LAS_VEGAS,4,neutral
43,Bamkyre,77th Floor,69,745,"RT @HBJohnXuandou: Why the fuck are people cheering for this?

This is not an apology. Once again, just like in the original statement Bliz…",4166,0,0,10524,1,0,0,0,1799,1,hbjohnxuandou fuck people cheer this this apology once again just like original statement bliz,0.8274702315851886,LAS_VEGAS,4,negative
0,xxmisaeexx,585,91,567,"RT @WrongN1K: When she has finally moved on and found a new man 🤕
 https://t.co/PLJ7j4bQgD",22148,0,1,2253,1,0,0,0,1404,1,wrongn1k when finally move find,0.8075936317258784,LAS_VEGAS,4,neutral
14,wxnissxksj,somewhere over the rainbow ,59,130,RT @itsTrevorShelby: I hate talking on the phone. I repeat. I hate talking on the phone. So if I were to suggest a call or even FaceTime fo…,4553,0,0,3060,1,0,0,0,1340,1,itstrevorshelby hate talk phone repeat hate talk phone be suggest call even facetime,0.8011285398740429,LAS_VEGAS,4,negative
